Code,Area,Highly satisfy with life (rate),Life expectancy (age),NVQ4+ leve of working age population (16-64) (percent),median of personal incomes by tax year
E09000001,City of London,,,80,"61,100"
E09000002,Barking and Dagenham,73.65,77.8,32.4,"21,800"
E09000003,Barnet,79.83,82.2,49.1,"27,100"
E09000004,Bexley,77.88,80,33.6,"24,400"
E09000005,Brent,82.78,80.3,45.1,"22,700"
E09000006,Bromley,82.19,81.4,47,"28,100"
E09000007,Camden,78.31,82.3,61.1,"33,100"
E09000008,Croydon,79,80.4,40.6,"25,100"
E09000009,Ealing,79.26,80.9,49.7,"24,600"
E09000010,Enfield,76.5,80.3,43.6,"25,300"
E09000011,Greenwich,72.82,79.2,42.3,"24,600"
E09000012,Hackney,75.21,78.8,49.2,"26,000"
E09000013,Hammersmith and Fulham,81.89,79.5,67.4,"30,100"
E09000014,Haringey,69.48,80.4,49.3,"25,800"
E09000015,Harrow,83.6,82.7,47.9,"26,100"
E09000016,Havering,79.21,79.6,26,"24,900"
E09000017,Hillingdon,77.99,80.8,40.2,"25,300"
E09000018,Hounslow,79,80,45.4,"24,700"
E09000019,Islington,78.68,79.4,62.7,"31,000"
E09000020,Kensington and Chelsea,83.79,83.2,65.3,"38,700"
E09000021,Kingston upon Thames,82.63,81.4,53.6,"29,100"
E09000022,Lambeth,79.35,78.7,65,"27,300"
E09000023,Lewisham,72.31,79,53.3,"24,900"
E09000024,Merton,82.37,80.9,58,"27,600"
E09000025,Newham,82.12,79.7,43.3,"20,200"
E09000026,Redbridge,85.16,81,44.7,"25,700"
E09000027,Richmond upon Thames,87.27,82.3,69.6,"35,800"
E09000028,Southwark,78.94,78.9,56.9,"27,700"
E09000029,Sutton,79.12,80.8,42.5,"25,900"
E09000030,Tower Hamlets,79.23,79,45.8,"26,600"
E09000031,Waltham Forest,82.53,80.1,42.6,"22,700"
E09000032,Wandsworth,84.58,80.2,66.3,"32,900"
E09000033,Westminster,81.16,82.7,63.2,"35,100"
