Old Ward Code,New ward code,Ward,% Households without central heating - 2001,Cavity walls that are uninsulated (2010),Lofts with less than 150mm insulation (2010),Indices of Deprivation 2010 Health Deprivation and Disability domain,SMR - 2010,Incapacity Benefit rate - 2010,% aged 60 or over - 2010,Pension Credit rate - 2010,JSA claimant rate - 2010,Income Support rate - 2010,% of children in poverty - 2009,% of households fuel poor (2009)
00AA,E09000001,City of London,4.6,69.4,73.8,-1.43,73.8,2.6,16.8,12.6,1.2,1.6,17.5,6.5
00ABFX,E05000026,Abbey,9.9,68.6,72.9,0.27,65.7,4.8,10.8,29.6,4.9,6.2,40.3,16.2
00ABFY,E05000027,Alibon,7.9,64.9,73.5,0.56,83.8,8.6,17.0,35.7,6.5,10.8,38.8,18.9
00ABFZ,E05000028,Becontree,11.7,58.4,73.3,0.46,111.2,7.5,13.2,40.0,5.9,7.8,37.9,17.3
00ABGA,E05000029,Chadwell Heath,14.7,69.4,66.3,0.46,88.5,7.6,24.5,27.4,5.5,8.8,39.0,16.8
00ABGB,E05000030,Eastbrook,6.4,71.1,69.9,0.25,121.7,5.4,20.3,25.5,4.9,5.2,26.0,14.6
00ABGC,E05000031,Eastbury,9.4,48.1,74.9,0.34,68.4,8.0,19.5,29.2,5.8,8.8,36.4,17.2
00ABGD,E05000032,Gascoigne,7.2,76.8,76.1,0.64,104.9,9.9,10.9,46.5,7.8,12.1,46.9,18.1
00ABGE,E05000033,Goresbrook,10.6,47.8,72.1,0.43,78.7,7.7,16.9,30.6,6.0,8.7,36.6,17.8
00ABGF,E05000034,Heath,8.1,69.1,74.5,0.60,139.4,8.9,18.4,38.5,6.8,11.2,41.8,17.7
00ABGG,E05000035,Longbridge,6.1,80.5,74.5,0.06,91.4,4.7,17.0,27.5,3.8,3.8,20.4,14.3
00ABGH,E05000036,Mayesbrook,7.4,15.3,72.4,0.63,61.8,9.1,20.9,29.7,5.9,10.2,39.1,18.4
00ABGJ,E05000037,Parsloes,9.4,58.2,73.5,0.59,74.3,10.4,18.8,32.5,5.8,10.8,35.9,18.4
00ABGK,E05000038,River,12.6,74.8,74.9,0.50,132.6,6.8,13.9,35.2,5.7,7.6,34.1,17.6
00ABGL,E05000039,Thames,7.9,63.9,71.4,0.55,100.1,7.9,12.6,36.7,6.9,9.8,40.2,16.1
00ABGM,E05000040,Valence,12.8,47.4,72.7,0.63,126.3,9.2,16.1,45.4,6.1,9.6,33.8,18.5
00ABGN,E05000041,Village,9.9,61.2,69.9,0.48,112.9,8.5,18.0,33.9,8.4,10.2,38.8,15.6
00ABGP,E05000042,Whalebone,10.9,78.8,70.7,0.11,85.6,4.9,16.9,24.5,4.0,4.8,30.3,15.0
00ACFX,E05000043,Brunswick Park,4.1,77.5,73.7,-1.26,72.6,5.1,22.5,16.0,3.0,4.4,19.6,14.1
00ACFY,E05000044,Burnt Oak,5.3,57.5,70.0,-0.37,164.9,8.3,13.0,45.3,5.0,8.9,39.5,14.3
00ACFZ,E05000045,Childs Hill,5.7,75.5,77.7,-0.67,103.4,4.9,18.6,19.8,3.6,4.9,24.7,12.0
00ACGA,E05000046,Colindale,5.2,63.8,69.3,-0.60,79.5,6.5,12.8,33.2,4.2,7.8,42.3,13.1
00ACGB,E05000047,Coppetts,6.4,61.8,72.7,-0.70,129.4,5.9,15.1,29.5,3.6,5.6,24.6,11.8
00ACGC,E05000048,East Barnet,6.1,63.4,72.9,-1.25,91.5,4.6,18.4,18.8,3.3,4.0,20.4,12.3
00ACGD,E05000049,East Finchley,5.4,69.4,74.2,-0.68,83.2,5.6,18.5,28.8,2.9,4.7,24.5,9.2
00ACGE,E05000050,Edgware,4.0,63.6,71.6,-1.01,79.6,5.0,18.8,20.6,2.9,5.1,25.0,14.3
00ACGF,E05000051,Finchley Church End,4.2,77.2,76.3,-1.15,85.1,3.0,21.2,14.1,2.7,2.4,11.6,10.3
00ACGG,E05000052,Garden Suburb,5.9,76.8,77.1,-1.70,64.0,1.7,21.2,10.7,1.5,1.4,6.8,9.4
00ACGH,E05000053,Golders Green,3.1,74.7,76.8,-0.71,115.7,4.8,15.3,24.9,2.8,4.3,19.5,11.8
00ACGJ,E05000054,Hale,4.0,65.6,72.0,-1.11,75.9,5.5,19.0,23.0,3.2,5.3,23.1,13.4
00ACGK,E05000055,Hendon,5.7,72.4,76.2,-0.85,94.6,5.4,18.3,23.0,2.8,4.3,19.6,11.2
00ACGL,E05000056,High Barnet,4.9,71.0,72.9,-1.12,102.0,4.2,20.2,14.8,2.3,2.9,11.5,11.4
00ACGM,E05000057,Mill Hill,3.4,72.4,75.1,-1.28,78.3,4.2,18.2,19.1,2.7,4.2,23.9,12.5
00ACGN,E05000058,Oakleigh,4.9,75.8,74.5,-1.17,91.0,4.2,23.1,15.0,2.6,4.0,20.3,12.1
00ACGP,E05000059,Totteridge,3.1,72.3,74.6,-1.43,88.0,3.2,19.3,16.1,1.9,2.5,12.8,10.9
00ACGQ,E05000060,Underhill,4.9,64.5,72.4,-0.81,121.3,6.1,19.6,24.0,3.7,5.9,27.7,12.9
00ACGR,E05000061,West Finchley,6.5,78.3,75.5,-0.76,89.6,4.4,17.5,23.2,2.7,3.4,15.7,10.2
00ACGS,E05000062,West Hendon,5.5,75.9,74.9,-0.71,98.6,6.5,17.2,27.7,3.7,5.4,21.7,13.3
00ACGT,E05000063,Woodhouse,6.8,75.8,74.8,-0.80,104.0,5.7,17.3,27.1,3.4,4.8,24.2,12.5
00ADGA,E05000064,Barnehurst,7.1,74.2,73.0,-0.70,96.4,3.8,22.5,15.8,2.7,3.0,16.7,14.6
00ADGB,E05000065,Belvedere,8.9,66.9,70.1,-0.12,120.4,6.4,17.3,26.4,4.3,6.1,27.6,13.1
00ADGC,E05000066,Blackfen and Lamorbey,6.6,77.9,73.2,-0.92,75.6,3.3,22.2,12.0,1.9,2.1,10.3,15.3
00ADGD,E05000067,Blendon and Penhill,5.1,74.1,74.4,-0.97,80.5,3.1,23.7,12.6,2.0,2.0,9.6,15.6
00ADGE,E05000068,Brampton,4.8,78.0,72.1,-0.87,73.4,3.5,26.3,11.5,1.9,2.2,10.5,17.4
00ADGF,E05000069,Christchurch,6.8,72.8,73.6,-0.57,105.3,3.9,22.9,15.0,2.7,3.0,14.7,14.5
00ADGG,E05000070,Colyers,8.9,67.0,72.6,-0.16,132.2,6.8,19.0,25.0,4.7,6.6,27.8,14.9
00ADGH,E05000071,Crayford,10.9,63.7,71.5,-0.29,122.3,6.5,19.1,27.5,4.0,5.5,22.6,13.0
00ADGJ,E05000072,Cray Meadows,8.7,63.7,72.3,-0.17,102.6,6.6,23.6,22.3,3.6,6.1,24.9,15.2
00ADGK,E05000073,Danson Park,7.3,74.3,73.5,-0.62,100.8,4.0,21.4,16.9,2.3,3.1,14.1,15.6
00ADGL,E05000074,East Wickham,8.2,68.1,73.6,-0.43,72.0,4.8,23.8,18.2,3.0,4.1,19.5,15.2
00ADGM,E05000075,Erith,8.4,62.1,70.5,-0.10,83.5,7.2,16.2,28.7,4.7,7.5,27.6,12.9
